Date ,Replicate,Species,Colony,TN,Sample,T,prot_conc,unfolding
20160412,1,A. picea,AVON,N,7,48,0.604148936,0.599862899
20160412,1,A. picea,AVON,N,8,50,0.552867998,0.548945765
20160412,1,A. picea,AVON,N,9,55,0.505950934,0.502361546
20160412,1,A. picea,AVON,N,10,60,0.447179766,0.444007321
20160412,1,A. picea,AVON,N,11,65,0.370909683,0.368278324
20160412,1,A. picea,AVON,N,12,70,0.3817868,0.379078275
20160419,2,P. barbatus,WWRQ-53,T,1,25,0.862755347,0.950301269
20160419,2,P. barbatus,WWRQ-53,T,2,30,0.889497855,0.979757405
20160419,2,P. barbatus,WWRQ-53,T,3,35,0.86015311,0.947434976
20160419,2,P. barbatus,WWRQ-53,T,4,40,0.889750456,0.980035638
20160419,2,P. barbatus,WWRQ-53,T,5,43,0.907875613,1
20160419,2,P. barbatus,WWRQ-53,T,6,45,0.876593861,0.965544011
20160419,2,P. barbatus,WWRQ-53,T,7,48,0.881206364,0.970624557
20160419,2,P. barbatus,WWRQ-53,T,8,50,0.861266465,0.948661306
20160419,2,P. barbatus,WWRQ-53,T,9,55,0.87008839,0.958378414
20160419,2,P. barbatus,WWRQ-53,T,10,60,0.858479245,0.94559126
20160419,2,P. barbatus,WWRQ-53,T,11,65,0.828958093,0.913074524
20160419,2,P. barbatus,WWRQ-53,T,12,70,0.815702989,0.898474392
20160419,2,P. barbatus,WWRQ-53,N,1,25,0.757826829,0.966324848
20160419,2,P. barbatus,WWRQ-53,N,2,30,0.784236099,1
20160419,2,P. barbatus,WWRQ-53,N,3,35,0.745070642,0.9500591
20160419,2,P. barbatus,WWRQ-53,N,4,40,0.698201931,0.890295578
20160419,2,P. barbatus,WWRQ-53,N,5,43,0.631710588,0.805510724
20160419,2,P. barbatus,WWRQ-53,N,6,45,0.57883039,0.738081798
20160419,2,P. barbatus,WWRQ-53,N,7,48,0.541405633,0.69036051
20160419,2,P. barbatus,WWRQ-53,N,8,50,0.482462376,0.615200418
20160419,2,P. barbatus,WWRQ-53,N,9,55,0.436709523,0.556859756
20160419,2,P. barbatus,WWRQ-53,N,10,60,0.33770812,0.430620473
20160419,2,P. barbatus,WWRQ-53,N,11,65,0.335046809,0.427226966
20160419,2,P. barbatus,WWRQ-53,N,12,70,0.321202165,0.409573297
20160422,2,A. picea,CENT WOODS,T,1,25,1.012953605,0.957130896
20160422,2,A. picea,CENT WOODS,T,2,30,0.964681301,0.911518824
20160422,2,A. picea,CENT WOODS,T,3,35,1.010633332,0.954938491
20160422,2,A. picea,CENT WOODS,T,4,40,1.004751347,0.949380655
20160422,2,A. picea,CENT WOODS,T,5,43,1.058322962,1
20160422,2,A. picea,CENT WOODS,T,6,45,0.967570697,0.914248988
20160422,2,A. picea,CENT WOODS,T,7,48,1.003562025,0.948256875
20160422,2,A. picea,CENT WOODS,T,8,50,0.991176814,0.936554199
20160422,2,A. picea,CENT WOODS,T,9,55,1.028889063,0.972188169
20160422,2,A. picea,CENT WOODS,T,10,60,0.937027737,0.885389215
20160422,2,A. picea,CENT WOODS,T,11,65,1.001742081,0.946537226
20160422,2,A. picea,CENT WOODS,T,12,70,0.890361696,0.841294886
20160422,2,A. picea,CENT WOODS,N,1,25,0.858577296,0.993844077
20160422,2,A. picea,CENT WOODS,N,2,30,0.863895369,1
20160422,2,A. picea,CENT WOODS,N,3,35,0.774926566,0.897014377
20160422,2,A. picea,CENT WOODS,N,4,40,0.741889261,0.858772124
20160422,2,A. picea,CENT WOODS,N,5,43,0.704197859,0.815142533
20160422,2,A. picea,CENT WOODS,N,6,45,0.671773455,0.777609743
20160422,2,A. picea,CENT WOODS,N,7,48,0.665306712,0.770124179
20160422,2,A. picea,CENT WOODS,N,8,50,0.638765336,0.739401273
20160422,2,A. picea,CENT WOODS,N,9,55,0.602242409,0.697124248
20160422,2,A. picea,CENT WOODS,N,10,60,0.51621512,0.597543567
20160422,2,A. picea,CENT WOODS,N,11,65,0.371837039,0.430419067
20160422,2,A. picea,CENT WOODS,N,12,70,0.305262099,0.353355406
20160517,3,P. barbatus,WWRQ-8,T,1,25,0.944514066,0.913351869
20160517,3,P. barbatus,WWRQ-8,T,2,30,0.955024877,0.923515898
20160517,3,P. barbatus,WWRQ-8,T,3,35,0.997466147,0.964556911
20160517,3,P. barbatus,WWRQ-8,T,4,40,0.964923529,0.933087966
20160517,3,P. barbatus,WWRQ-8,T,5,43,1.034118502,1
20160517,3,P. barbatus,WWRQ-8,T,6,45,0.999215434,0.966248483
20160517,3,P. barbatus,WWRQ-8,T,7,48,0.983461866,0.95101467
20160517,3,P. barbatus,WWRQ-8,T,8,50,1.002713943,0.969631567
20160517,3,P. barbatus,WWRQ-8,T,9,55,0.998060043,0.965131212
20160517,3,P. barbatus,WWRQ-8,T,10,60,1.001548438,0.968504515
20160517,3,P. barbatus,WWRQ-8,T,11,65,1.003817544,0.970698757
20160517,3,P. barbatus,WWRQ-8,T,12,70,0.973666787,0.941542758
20160517,3,P. barbatus,WWRQ-8,N,1,25,0.837002758,0.927823246
20160517,3,P. barbatus,WWRQ-8,N,2,30,0.902114451,1
20160517,3,P. barbatus,WWRQ-8,N,3,35,0.873616558,0.968409892
20160517,3,P. barbatus,WWRQ-8,N,4,40,0.788659914,0.874234874
20160517,3,P. barbatus,WWRQ-8,N,5,43,0.695021944,0.770436548
20160517,3,P. barbatus,WWRQ-8,N,6,45,0.639735848,0.709151535
20160517,3,P. barbatus,WWRQ-8,N,7,48,0.583886265,0.647241893
20160517,3,P. barbatus,WWRQ-8,N,8,50,0.542606428,0.601482913
20160517,3,P. barbatus,WWRQ-8,N,9,55,0.465791052,0.516332546
20160517,3,P. barbatus,WWRQ-8,N,10,60,0.415187209,0.460237843
20160517,3,P. barbatus,WWRQ-8,N,11,65,0.397723005,0.440878654
20160517,3,P. barbatus,WWRQ-8,N,12,70,0.376196765,0.417016671
20160505,1,A. rudis,Duke 1,T,1,25,0.854876346,0.965104766
20160505,1,A. rudis,Duke 1,T,2,30,0.885786058,1
20160505,1,A. rudis,Duke 1,T,3,35,0.843429341,0.952181776
20160505,1,A. rudis,Duke 1,T,4,40,0.872170009,0.984628288
20160505,1,A. rudis,Duke 1,T,5,43,0.861849778,0.972977358
20160505,1,A. rudis,Duke 1,T,6,45,0.862869495,0.974128558
20160505,1,A. rudis,Duke 1,T,7,48,0.830101037,0.93713491
20160505,1,A. rudis,Duke 1,T,8,50,0.857676743,0.968266249
20160505,1,A. rudis,Duke 1,T,9,55,0.863819164,0.975200678
20160505,1,A. rudis,Duke 1,T,10,60,0.828633598,0.935478257
20160505,1,A. rudis,Duke 1,T,11,65,0.831401134,0.938602642
20160505,1,A. rudis,Duke 1,T,12,70,0.838810328,0.946967183
20160505,1,A. rudis,Duke 1,N,1,25,0.807876869,1
20160505,1,A. rudis,Duke 1,N,2,30,0.8028302,0.993753171
20160505,1,A. rudis,Duke 1,N,3,35,0.720593161,0.891959144
20160505,1,A. rudis,Duke 1,N,4,40,0.701943148,0.868873927
20160505,1,A. rudis,Duke 1,N,5,43,0.652835662,0.808088072
20160505,1,A. rudis,Duke 1,N,6,45,0.583198347,0.721890141
20160505,1,A. rudis,Duke 1,N,7,48,0.540519732,0.669062023
20160505,1,A. rudis,Duke 1,N,8,50,0.454221953,0.562241563
20160505,1,A. rudis,Duke 1,N,9,55,0.438318401,0.542555948
20160505,1,A. rudis,Duke 1,N,10,60,0.3755274,0.46483247
20160505,1,A. rudis,Duke 1,N,11,65,0.319084454,0.394966691
20160505,1,A. rudis,Duke 1,N,12,70,0.287723333,0.356147508
20160510,2,A. rudis,Yates 2,T,1,25,0.863013221,0.957923929
20160510,2,A. rudis,Yates 2,T,2,30,0.890843505,0.988814875
20160510,2,A. rudis,Yates 2,T,3,35,0.890022043,0.987903072
20160510,2,A. rudis,Yates 2,T,4,40,0.890149755,0.988044829
20160510,2,A. rudis,Yates 2,T,5,43,0.877674024,0.974197068
20160510,2,A. rudis,Yates 2,T,6,45,0.900920412,1
20160510,2,A. rudis,Yates 2,T,7,48,0.879323274,0.976027695
20160510,2,A. rudis,Yates 2,T,8,50,0.875970902,0.972306644
20160510,2,A. rudis,Yates 2,T,9,55,0.897124176,0.995786269
20160510,2,A. rudis,Yates 2,T,10,60,0.8647638,0.959867029
20160510,2,A. rudis,Yates 2,T,11,65,0.826378121,0.917259848
20160510,2,A. rudis,Yates 2,T,12,70,0.836187774,0.928148328
20160510,2,A. rudis,Yates 2,N,1,25,0.800431068,1
20160510,2,A. rudis,Yates 2,N,2,30,0.731917047,0.914403596
20160510,2,A. rudis,Yates 2,N,3,35,0.782818041,0.977995573
20160510,2,A. rudis,Yates 2,N,4,40,0.713981507,0.891996246
20160510,2,A. rudis,Yates 2,N,5,43,0.631472065,0.788914986
20160510,2,A. rudis,Yates 2,N,6,45,0.569368803,0.711327716
20160510,2,A. rudis,Yates 2,N,7,48,0.5390834,0.673491349
20160510,2,A. rudis,Yates 2,N,8,50,0.515680932,0.644254018
20160510,2,A. rudis,Yates 2,N,9,55,0.42841673,0.535232511
20160510,2,A. rudis,Yates 2,N,10,60,0.360707528,0.450641589
20160510,2,A. rudis,Yates 2,N,11,65,0.339393743,0.424013705
20160510,2,A. rudis,Yates 2,N,12,70,0.286689265,0.358168588
20160519,3,A. rudis,Lex 13,T,1,25,0.797955031,0.996210529
20160519,3,A. rudis,Lex 13,T,2,30,0.800990361,1
20160519,3,A. rudis,Lex 13,T,3,35,0.789633541,0.985821527
20160519,3,A. rudis,Lex 13,T,4,40,0.78215166,0.976480739
20160519,3,A. rudis,Lex 13,T,5,43,0.779098936,0.972669553
20160519,3,A. rudis,Lex 13,T,6,45,0.773388221,0.965539985
20160519,3,A. rudis,Lex 13,T,7,48,0.783930508,0.978701551
20160519,3,A. rudis,Lex 13,T,8,50,0.783437724,0.978086332
20160519,3,A. rudis,Lex 13,T,9,55,0.741298232,0.925477095
20160519,3,A. rudis,Lex 13,T,10,60,0.711934373,0.888817654
20160519,3,A. rudis,Lex 13,T,11,65,0.739630978,0.923395605
20160519,3,A. rudis,Lex 13,T,12,70,0.706544239,0.882088317
20160519,3,A. rudis,Lex 13,N,1,25,0.776770475,1
20160519,3,A. rudis,Lex 13,N,2,30,0.750612775,0.966325059
20160519,3,A. rudis,Lex 13,N,3,35,0.707483332,0.910801009
20160519,3,A. rudis,Lex 13,N,4,40,0.670113653,0.862691973
20160519,3,A. rudis,Lex 13,N,5,43,0.600729652,0.773368287
20160519,3,A. rudis,Lex 13,N,6,45,0.541620897,0.697272765
20160519,3,A. rudis,Lex 13,N,7,48,0.473679439,0.609806184
20160519,3,A. rudis,Lex 13,N,8,50,0.459547829,0.591613409
20160519,3,A. rudis,Lex 13,N,9,55,0.408973109,0.526504447
20160519,3,A. rudis,Lex 13,N,10,60,0.314835326,0.405313199
20160519,3,A. rudis,Lex 13,N,11,65,0.214965775,0.276742979
20160519,3,A. rudis,Lex 13,N,12,70,0.202365222,0.260521259
